Source;Target;Type;Weight
36360816693;5160;Directed;-87
36360816693;59;Directed;-84
36360816693;58;Directed;-86
36360816693;5168;Directed;-89
36360816693;57;Directed;-80
36360816693;56;Directed;0
36360816693;50;Directed;-68
36360816693;524;Directed;-82
36360816693;518;Directed;-88
36360816693;520;Directed;-80
36360816693;522;Directed;-85
36360816693;523;Directed;-86
36360816693;513;Directed;-76
36360816693;512;Directed;-79
132;151;Directed;None
132;139;Directed;None
132;136;Directed;None
132;1214;Directed;None
132;1117;Directed;None
130;133;Directed;None
130;178;Directed;None
130;179;Directed;None
130;1214;Directed;None
130;1134;Directed;None
136;1211;Directed;None
136;198;Directed;-67
136;1214;Directed;-65
136;1133;Directed;-79
136;192;Directed;-66
136;182;Directed;-77
136;132;Directed;None
136;180;Directed;-72
136;181;Directed;-79
136;1221;Directed;None
136;1117;Directed;-77
136;1108;Directed;None
90;9;Directed;-80
90;93;Directed;0
90;92;Directed;None
90;95;Directed;-78
90;104459421554;Directed;-85
139;151;Directed;-87
139;1214;Directed;-88
139;140;Directed;None
139;1133;Directed;-84
139;182;Directed;-86
139;132;Directed;None
139;180;Directed;-82
139;136;Directed;-82
139;1221;Directed;None
92;90;Directed;None
95;90;Directed;-76
95;93;Directed;-68
95;104459421554;Directed;-83
3;3201;Directed;None
3;3200;Directed;None
3;3;Directed;-58
3;3195;Directed;-69
3;3190;Directed;-73
3;3199;Directed;-89
3;3198;Directed;0
818;832;Directed;-83
818;830;Directed;-87
818;86;Directed;-87
818;819;Directed;-72
818;88;Directed;-88
818;825;Directed;-73
818;827;Directed;None
818;225877267718;Directed;-81
818;817;Directed;-58
819;818;Directed;-73
819;225877267718;Directed;-49
819;817;Directed;-61
104459421554;2206;Directed;-79
104459421554;2207;Directed;None
104459421554;2209;Directed;-64
104459421554;9;Directed;-65
104459421554;2197;Directed;-79
104459421554;2165;Directed;-81
104459421554;2199;Directed;-79
104459421554;95;Directed;-78
104459421554;90;Directed;-78
810;813;Directed;None
810;814;Directed;None
811;812;Directed;None
811;89;Directed;None
812;811;Directed;None
812;89;Directed;None
813;832;Directed;None
813;89;Directed;None
813;810;Directed;None
813;827;Directed;None
813;814;Directed;None
813;87;Directed;None
813;823;Directed;None
814;810;Directed;None
814;813;Directed;None
815;830;Directed;-84
815;834;Directed;None
815;88;Directed;-79
815;825;Directed;-83
815;81;Directed;-88
815;86;Directed;-87
815;823;Directed;None
815;822;Directed;None
817;818;Directed;-55
817;819;Directed;-58
817;225877267718;Directed;-53
719;77;Directed;-68
719;716;Directed;-87
719;713;Directed;-73
717;76;Directed;-72
716;77;Directed;-63
716;79831339542;Directed;-80
716;713;Directed;-76
716;719;Directed;-86
716;720;Directed;-79
715;73;Directed;-63
715;714;Directed;None
715;722;Directed;-84
715;71;Directed;-56
715;721;Directed;-57
714;715;Directed;None
714;70;Directed;None
713;719;Directed;-68
713;716;Directed;-72
713;77;Directed;-61
713;724;Directed;-75
713;725;Directed;-67
713;79831339542;Directed;-81
712;76;Directed;-61
712;78;Directed;-50
712;723;Directed;-47
712;711;Directed;-54
712;72;Directed;-78
711;712;Directed;-66
711;76;Directed;-52
711;72;Directed;-81
711;70;Directed;None
711;78;Directed;-37
711;79;Directed;None
711;723;Directed;-53
79831339542;716;Directed;-85
79831339542;713;Directed;-85
59;58;Directed;-81
59;55;Directed;-86
59;50;Directed;-76
59;519;Directed;-85
59;5168;Directed;-78
59;527;Directed;None
59;520;Directed;-83
59;522;Directed;-86
59;513;Directed;-86
59;515;Directed;None
59;516;Directed;-86
58;5160;Directed;-67
58;59;Directed;-81
58;5168;Directed;-82
58;50;Directed;-67
58;525;Directed;-85
58;527;Directed;None
58;520;Directed;-69
58;522;Directed;-86
58;523;Directed;-74
58;5164;Directed;-60
58;513;Directed;-84
58;512;Directed;-74
58;528;Directed;None
58;514;Directed;-80
55;59;Directed;-98
55;50;Directed;-102
55;519;Directed;-100
55;520;Directed;-76
55;515;Directed;None
55;516;Directed;-85
54;5160;Directed;-74
54;519;Directed;-79
54;59;Directed;-82
54;58;Directed;-72
54;5168;Directed;-87
54;57;Directed;-87
54;510;Directed;-85
54;50;Directed;-65
54;514;Directed;-64
54;524;Directed;-80
54;525;Directed;-80
54;520;Directed;-65
54;522;Directed;-80
54;523;Directed;-52
54;5;Directed;-87
54;513;Directed;-71
54;512;Directed;-66
54;5164;Directed;-84
54;36360816693;Directed;-85
57;519;Directed;-77
57;59;Directed;-86
57;5168;Directed;-68
57;36360816693;Directed;-82
57;56;Directed;-79
57;50;Directed;-44
57;524;Directed;-76
57;518;Directed;-63
57;526;Directed;-76
57;527;Directed;None
57;5;Directed;-89
57;520;Directed;-71
57;513;Directed;-70
57;528;Directed;None
56;57;Directed;-86
56;50;Directed;-73
56;524;Directed;-54
56;527;Directed;None
